genus,species,"base of range (Ma)","top of range (Ma)",collections,"with abundances","geometric mean abundance"
Ectocion,osbornianus,58.1,54.2,249,72,0.0565
Ectocion,parvus,56.8,55.5,14,1,0.2500
Ectocion,sp.,61.7,52.2,15,1,0.5000
Ectocion,superstes,52.1,46.200,2,0,NaN
Ectoconus,cavigellii,64.7,64.6,1,1,0.0833
Ectoconus,ditrigonus,64.0,63.6,15,2,0.4082
Ectoconus,sp.,64.8,64.7,2,1,0.1333
Ectoconus,symbolus,66.043,63.300,5,0,NaN
Ectoganus,bighornensis,55.5,55.5,2,0,NaN
Ectoganus,copei,56.8,56.8,1,0,NaN
Ectoganus,gliriformes,55.2,53.4,8,6,0.0442
Ectoganus,gliriformis,56.8,52.8,31,0,NaN
Ectoganus,sp.,57.2,52.7,15,1,1.0000
Ectopocynus,antiquus,33.300,25.2,2,0,NaN
Ectopocynus,intermedius,25.2,25.2,1,0,NaN
Ectopocynus,simplicidens,19.9,19.9,3,0,NaN
Ectypodus,aphronorus,63.300,60.5,3,0,NaN
Ectypodus,childei,54.7,52.1,4,0,NaN
Ectypodus,lovei,42.5,36.8,15,1,0.0061
Ectypodus,musculus,60.0,59.5,4,0,NaN
Ectypodus,powelli,60.6,56.6,21,2,0.0188
Ectypodus,sp.,64.6,50.300,14,2,0.2100
Ectypodus,szalayi,63.300,60.4,5,0,NaN
Ectypodus,tardus,59.0,54.7,23,0,NaN
Edaphocyon,lautus,19.8,19.8,1,0,NaN
Edaphocyon,palmeri,19.3,19.3,1,0,NaN
Edaphocyon,pointblankensis,15.970,13.600,1,0,NaN
Edaphocyon,sp.,17.4,17.4,1,1,0.0014
Edworthia,lerbekmoi,63.300,61.700,1,0,NaN
Ekgmowechashala,philotau,26.6,26.5,8,7,0.0707
Ekgmowechashala,sp.,25.9,25.7,1,0,NaN
Ellesmene,eureka,55.800,50.300,1,0,NaN
Ellipsodon,grangeri,64.0,62.1,8,0,NaN
Ellipsodon,inaequidens,63.300,61.700,1,0,NaN
Elomeryx,armatus,33.7,30.7,5,0,NaN
Elomeryx,garbanii,30.3,30.2,2,1,0.1667
Elomeryx,sp.,33.7,24.800,5,0,NaN
Elphidotarsius,florencae,63.300,61.700,3,0,NaN
Elphidotarsius,russelli,60.4,60.1,5,0,NaN
Elphidotarsius,shotgunensis,60.5,60.5,1,0,NaN
Elphidotarsius,wightoni,60.1,58.5,6,0,NaN
Elpidophorus,elegans,60.4,58.3,15,0,NaN
Elpidophorus,minor,63.300,60.5,4,0,NaN
Elpidophorus,sp.,63.300,57.9,3,0,NaN
Elwynella,oreas,52.1,46.200,2,0,NaN
Elymys,complexus,49.8,49.7,1,0,NaN
Enaliarctos,barnesi,20.430,15.970,1,1,0.5000
Enaliarctos,emlongi,20.430,15.970,3,3,0.4642
Enaliarctos,mealsi,28.400,23.030,1,1,0.7778
Enaliarctos,mitchelli,23.030,20.430,2,1,1.0000
Enaliarctos,tedfordi,28.400,23.030,1,1,0.5000
Enhydra,macrodonta,1.800,0.012,2,0,NaN
Enhydra,sp.,1.800,0.012,7,0,NaN
Enhydritherium,sp.,4.900,1.800,1,0,NaN
Enhydritherium,terraenovae,13.650,4.900,12,0,NaN
Enhydrocyon,basilatus,23.5,22.7,1,0,NaN
Enhydrocyon,crassidens,30.800,22.7,8,4,0.1930
Enhydrocyon,pahinsintewakpa,30.800,24.4,10,4,0.0382
Enhydrocyon,prolatus,33.300,30.800,1,0,NaN
Enhydrocyon,sp.,29.8,26.0,5,0,NaN
Enhydrocyon,stenocephalus,28.6,25.7,2,0,NaN
Entomolestes,grangeri,46.5,46.4,1,0,NaN
Entomolestes,sp.,58.9,37.200,3,0,NaN
Entoptychus,fieldsi,24.1,24.1,1,1,0.1081
Entoptychus,grandiplanus,23.9,22.2,5,0,NaN
Entoptychus,individens,24.2,15.970,2,1,0.3158
Entoptychus,leptophrys,21.2,21.2,2,2,0.4472
Entoptychus,montanensis,22.3,22.3,1,0,NaN
Entoptychus,planifrons,20.430,15.970,1,0,NaN
Entoptychus,sheppardi,24.1,21.2,1,1,1.0000
Entoptychus,sp.,30.800,21.2,5,1,0.0345
Entoptychus,wheelerensis,25.4,25.3,2,0,NaN
Eobalaenoptera,harrisoni,15.970,13.650,1,0,NaN
Eobasileus,cornutus,45.2,44.9,5,0,NaN
Eoconodon,copanus,65.2,65.2,1,0,NaN
Eoconodon,coryphaeus,64.0,63.7,3,0,NaN
Eoconodon,gaudrianus,64.1,63.7,3,0,NaN
Eoconodon,ginibitohia,64.1,64.0,1,0,NaN
Eoconodon,hutchisoni,64.5,63.5,3,0,NaN
Eoconodon,nidhoggi,64.5,63.5,3,1,0.0312
Eoconodon,sp.,64.8,63.3,5,2,0.2500
Eogale,parydros,55.800,50.300,1,0,NaN
Eohaplomys,matutinus,40.8,40.7,2,1,0.0125
Eohaplomys,serus,40.8,40.6,2,1,0.0238
Eohaplomys,sp.,43.8,42.8,5,0,NaN
Eohaplomys,tradux,42.9,40.5,4,1,0.0084
Eomellivora,sp.,9.3,9.2,2,0,NaN
Eomellivora,wimani,11.8,11.8,1,0,NaN
Eomoropus,amarorum,45.2,44.7,3,0,NaN
Eomysticetus,carolinensis,28.400,23.030,1,1,1.0000
Eomysticetus,whitmorei,28.400,23.030,1,0,NaN
Eoryctes,melanus,55.0,55.0,6,0,NaN
Eotitanops,borealis,52.2,49.2,15,0,NaN
Eotitanops,minimus,51.8,46.200,6,0,NaN
Eotitanops,sp.,52.6,46.200,4,0,NaN
Eotitanotherium,osborni,45.0,41.6,1,0,NaN
Eotylopus,reedi,38.1,35.7,13,0,NaN
Eotylopus,sp.,39.8,36.2,2,1,0.0582
Epeiromys,spanius,33.900,33.300,2,0,NaN
Epicyon,aelurodontoides,10.300,4.900,1,0,NaN
Epicyon,haydeni,20.430,7.4,65,2,0.0182
Epicyon,saevus,15.970,7.5,76,3,0.0195
Epicyon,sp.,11.9,8.8,5,0,NaN
Epihippus,gracilis,45.3,39.6,30,3,0.0133
Epihippus,intermedius,46.200,38.9,3,0,NaN
Epihippus,sp.,40.7,40.6,1,0,NaN
Epitriplopus,sp.,43.6,43.5,2,0,NaN
Epitriplopus,uintensis,44.8,40.6,5,0,NaN
Epoicotherium,sp.,46.200,36.9,3,0,NaN
Epoicotherium,unicum,37.0,35.7,6,1,0.0255
Eporeodon,occidentalis,33.300,25.7,4,0,NaN
Eporeodon,sp.,26.300,24.800,2,0,NaN
Eptesicus,fuscus,3.4,0.000,32,1,0.0036
Eptesicus,hemphillensis,8.1,8.1,1,0,NaN
Eptesicus,sp.,6.9,0.000,6,0,NaN
Equus,alaskae,0.781,0.012,8,6,0.3233
Equus,complicatus,2.588,0.02987,12,0,NaN
Equus,conversidens,2.588,0.012,29,1,0.0747
Equus,cumminsi,4.900,1.800,1,0,NaN
Equus,cumminsii,4.1,2.6,10,3,0.0677
Equus,enormis,1.9,0.8,5,0,NaN
Equus,excelsus,0.5,0.012,4,0,NaN
Equus,francisci,3.0,0.012,25,2,0.0559
Equus,fraternus,1.6,0.012,5,0,NaN
Equus,fromanius,2.4,2.3,4,4,0.1573
Equus,giganteus,2.9,0.012,11,1,0.1333
Equus,idahoensis,2.9,0.8,20,10,0.5236
Equus,kiang,0.126,0.012,1,0,NaN
Equus,leidyi,2.588,0.012,18,0,NaN
Equus,litoralis,2.588,0.012,1,0,NaN
Equus,mexicanus,0.3,0.012,3,0,NaN
Equus,niobrarensis,0.4,0.012,13,0,NaN
Equus,occidentalis,2.588,0.012,12,0,NaN
Equus,pacificus,0.8,0.012,4,1,1.0000
Equus,pectinatus,0.4,0.4,1,0,NaN
Equus,scotti,4.1,0.012,59,3,0.4471
Equus,simplicidens,4.6,1.4,76,7,0.1731
Equus,sp.,4.7,0.00946,413,25,0.1271
Equus,verae,0.126,0.012,1,0,NaN
Eremotherium,eomigrans,4.900,0.4,9,0,NaN
Eremotherium,laurillardi,23.030,0.012,8,3,0.1502
Eremotherium,sp.,2.3,0.7,12,1,0.2500
Erethizon,bathygnathum,2.6,2.0,5,0,NaN
Erethizon,cascoensis,2.8,0.300,2,1,0.0161
Erethizon,dorsatum,1.6,0.0294,33,2,0.0071
Erethizon,kleini,4.900,1.1,2,0,NaN
Erethizon,poyeri,1.6,1.5,2,0,NaN
Erethizon,sp.,2.0,0.000,12,2,0.0162
Erignathus,barbatus,0.126,0.000,11,4,0.7071
Escatepos,campi,64.1,64.0,1,0,NaN
Escavadodon,zygus,63.300,61.700,1,0,NaN
Eschrichtius,robustus,1.800,0.000,10,2,1.0000
Eschrichtius,sp.,0.126,0.012,1,0,NaN
Esteslestes,ensis,55.800,50.300,1,0,NaN
Esthonyx,acutidens,53.7,46.200,28,0,NaN
Esthonyx,bisulcatus,55.7,52.6,159,79,0.0498
Esthonyx,gunnelli,55.5,55.5,2,0,NaN
Esthonyx,sp.,58.1,46.200,39,1,0.2222
Esthonyx,spatularius,55.8,54.3,65,29,0.0407
Eubelodon,morrilli,11.9,11.9,3,0,NaN
Eubelodon,sp.,11.9,11.8,1,0,NaN
Eucastor,lecontei,11.7,11.7,4,1,0.5128
Eucastor,malheurensis,11.6,11.6,4,0,NaN
Eucastor,phillisi,11.8,11.8,2,0,NaN
Eucastor,sp.,15.0,11.7,21,3,0.0134
Eucastor,tortus,15.9,4.900,33,2,0.0214
Euceratherium,collinum,0.9,0.012,12,2,0.1155
Euceratherium,sp.,1.5,0.012,7,0,NaN
Eucosmodon,americanus,64.0,64.0,2,0,NaN
Eucosmodon,molestus,63.300,61.700,1,0,NaN
Eucosmodon,primus,64.1,64.0,1,0,NaN
Eucosmodon,sp.,63.300,61.700,1,0,NaN
Eucyon,davisi,9.8,4.5,17,1,0.0675
Eucyon,sp.,7.4,7.4,1,0,NaN
Eudaemonema,bohachae,63.300,61.700,2,0,NaN
Eudaemonema,cuspidata,63.300,60.4,6,0,NaN
Eudaemonema,webbi,60.5,58.5,3,0,NaN
Euhapsis,breugerorum,22.6,22.6,1,0,NaN
Euhapsis,ellicottae,22.6,22.6,2,0,NaN
Euhapsis,platyceps,26.300,24.800,1,0,NaN
Euhapsis,sp.,24.6,24.6,1,0,NaN
Eumetopias,jubata,0.300,0.000,9,2,1.0000
Eumetopias,sp.,0.126,0.012,4,1,1.0000
Eumops,glaucinus,0.126,0.012,1,0,NaN
Eumops,perotis,3.3,0.000,2,0,NaN
Eumys,brachyodus,33.6,27.9,8,0,NaN
Eumys,elegans,35.0,29.4,27,4,0.1277
Eumys,parvidens,33.6,33.6,2,0,NaN
Eumys,sp.,40.400,32.1,18,2,0.2793
Euoplocyon,brachygnathus,16.5,15.0,6,0,NaN
Euoplocyon,spissidens,20.430,15.970,1,0,NaN
Eurhinodelphis,longirostris,15.970,13.650,3,3,0.3029
Eurhinodelphis,sp.,23.030,13.650,14,8,0.4555
Euroxenomys,inconnexus,15.970,13.600,1,0,NaN
Euroxenomys,sp.,20.0,20.0,2,1,0.0032
Euroxenomys,wilsoni,20.1,19.5,3,0,NaN
Eusmilus,cerebralis,30.8,25.1,6,2,0.1826
Eusmilus,sicarius,33.900,33.300,2,0,NaN
Eusmilus,sp.,36.1,35.5,2,0,NaN
Eutamias,minimus,0.3,0.012,10,2,0.0150
Eutamias,sp.,0.0335,0.0231,4,1,0.0012
Eutypomys,acares,40.400,37.200,1,0,NaN
Eutypomys,hibernodus,33.900,33.300,1,0,NaN
Eutypomys,inexpectatus,38.4,36.7,5,0,NaN
Eutypomys,montanensis,30.800,24.6,4,2,0.0510
Eutypomys,obliquidens,40.400,37.200,1,0,NaN
Eutypomys,parvus,36.9,36.0,2,0,NaN
Eutypomys,sp.,40.400,37.0,3,0,NaN
Eutypomys,thomsoni,35.3,33.4,6,0,NaN
Fanimus,clasoni,30.800,26.300,6,6,0.0900
Fanimus,ultimus,20.1,19.9,2,0,NaN
Felis,rexroadensis,7.9,3.4,11,0,NaN
Felis,sp.,0.3,0.3,1,0,NaN
Ferinestrix,vorax,3.8,3.7,2,0,NaN
Florentiamys,agnewi,30.800,26.300,1,1,0.0098
Florentiamys,kinseyi,25.2,25.2,2,0,NaN
Florentiamys,loomisi,25.2,24.8,3,0,NaN
Florentiamys,sp.,29.3,19.9,10,0,NaN
Florentiamys,tiptoni,26.300,24.800,3,2,0.0960
Floresomys,guanajuatoensis,50.300,40.400,1,0,NaN
Floridaceras,whitei,19.7,19.7,2,0,NaN
Floridachoerus,olseni,26.300,15.970,2,0,NaN
Floridameryx,floridanus,11.0,3.600,4,0,NaN
Floridameryx,klausi,11.7,11.7,1,0,NaN
Floridatragulus,dolichanthereus,20.430,15.970,1,0,NaN
Floridatragulus,hesperus,15.970,13.600,1,0,NaN
Floridatragulus,nanus,18.6,18.6,1,0,NaN
Floridatragulus,sp.,20.430,13.600,3,0,NaN
Floridatragulus,texanus,15.970,13.600,1,0,NaN
Fossorcastor,brachyceps,26.300,23.2,3,2,0.3536
Fossorcastor,fossor,26.300,15.970,12,7,0.4446
Fossorcastor,greeni,22.6,22.6,1,0,NaN
Fouchia,elyensis,49.8,49.7,1,0,NaN
Franimys,actites,55.800,50.300,1,0,NaN
Franimys,ambos,53.0,53.0,1,0,NaN
Franimys,amherstensis,56.2,54.9,3,0,NaN
Franimys,buccatus,53.7,53.0,1,0,NaN
Franimys,sp.,56.800,55.2,2,0,NaN
Gaillardia,sp.,15.970,13.600,1,0,NaN
Gaillardia,thomsoni,9.7,9.7,2,1,0.0115
Galbreathia,bettae,15.970,13.600,2,0,NaN
Galbreathia,novellus,24.800,17.6,12,1,1.0000
Galecyon,mordax,55.8,53.7,10,1,0.0141
Galushamys,redingtonensis,6.9,6.8,1,0,NaN
Gazinius,amplus,50.300,46.200,3,2,0.0486
Gazinius,bowni,46.3,46.3,1,0,NaN
Gazinocyon,vulpeculus,53.0,52.2,5,0,NaN
Gelastops,joni,63.300,61.6,2,0,NaN
Gelastops,parcus,63.300,60.7,8,0,NaN
Gelastops,sp.,65.3,60.5,4,0,NaN
Gentilicamelus,sp.,25.6,25.3,5,0,NaN
Geomys,adamsi,9.9,3.5,2,0,NaN
Geomys,bursarius,1.0,0.01217,30,1,0.1200
Geomys,carranzai,5.8,5.7,1,0,NaN
Geomys,jacobi,3.5,3.5,3,0,NaN
Geomys,lutescens,0.5,0.5,1,0,NaN
Geomys,pinetis,1.5,0.012,28,1,0.0153
Geomys,quinni,3.5,2.8,5,0,NaN
Geomys,sp.,4.0,0.0093,82,5,0.1900
Geomys,tobinensis,2.2,0.5,14,0,NaN
Georgiacetus,vogtlensis,48.600,37.200,3,3,1.0000
Geringia,gloveri,26.300,24.800,2,1,1.0000
Geringia,mcgregori,29.3,24.4,16,2,0.0184
Gigantocamelus,sp.,2.6,1.0,11,1,0.0500
Gigantocamelus,spatulus,3.5,1.0,25,7,0.1945
Gingerichia,geoteretes,60.4,60.3,2,0,NaN
Gingerichia,hystrix,60.4,60.4,1,0,NaN
Gingerichia,"sp. 1",60.4,60.3,1,0,NaN
Glaucomys,sabrinus,,0.0294,8,0,NaN
Glaucomys,sp.,2.588,0.000,14,1,0.0005
Globicephala,macrorhynchus,1.806,0.781,1,0,NaN
Globicephala,sp.,5.332,3.600,2,1,0.0192
Glossotherium,chapadmalense,3.7,2.0,9,1,0.0826
Glossotherium,garbanii,4.2,4.2,2,0,NaN
Glossotherium,sp.,5.7,0.012,4,0,NaN
Glyptotherium,arizonae,4.2,0.7,20,0,NaN
Glyptotherium,cylindricum,0.126,0.012,3,0,NaN
Glyptotherium,floridanum,0.4,0.4,3,0,NaN
Glyptotherium,mexicanum,0.4,0.4,1,0,NaN
Glyptotherium,sp.,4.1,0.012,13,0,NaN
Glyptotherium,texanum,3.3,3.0,9,2,0.0375
Gnathabelodon,buckneri,11.9,11.9,1,0,NaN
Gnathabelodon,thorpei,11.9,11.9,1,0,NaN
Gomphotaria,pugnax,7.246,5.332,1,1,1.0000
Gomphotherium,gratum,2.588,0.012,1,0,NaN
Gomphotherium,obscurum,17.3,10.2,24,2,0.0373
Gomphotherium,osborni,15.970,11.9,16,1,0.2000
Gomphotherium,sp.,17.3,4.900,71,5,0.0264
Goniacodon,hiawathae,66.043,63.300,1,0,NaN
Goniacodon,levisanus,63.300,60.3,15,1,0.0185
Goniacodon,sp.,62.1,62.1,1,0,NaN
Goniodelphis,hudsoni,13.650,4.900,4,0,NaN
Goniodontomys,disjunctus,11.4,9.1,9,0,NaN
Gracilocyon,winkleri,55.5,54.4,8,4,0.0234
Grangeria,anarsius,45.0,43.1,2,0,NaN
Gregorymys,curtus,26.300,21.2,5,4,0.2296
Gregorymys,douglassi,24.6,24.6,2,0,NaN
Gregorymys,formosus,26.300,21.3,14,7,0.6095
Gregorymys,larsoni,18.6,18.6,1,0,NaN
Gregorymys,riggsi,20.9,20.7,5,0,NaN
Gregorymys,riograndensis,21.1,21.0,2,1,0.3878
Gregorymys,sp.,24.6,20.4,6,0,NaN
Gricetoides,aurorae,5.332,3.600,1,1,0.0256
Gripholagomys,lavocati,26.300,19.9,11,1,0.6471
Gripholagomys,sp.,26.300,24.6,3,2,0.0435
Griphomys,alecer,42.9,39.7,17,5,0.0177
Griphomys,sp.,42.9,33.900,5,0,NaN
Griphomys,toltecus,40.4,40.3,1,1,0.0047
Gryphoca,similis,5.332,3.600,1,0,NaN
Guanajuatomys,hibbardi,50.300,40.400,1,0,NaN
Guildayomys,hibbardi,2.4,0.300,3,0,NaN
Guildayomys,matthewsi,0.781,0.126,1,1,0.0200
Gulfoceras,westfalli,26.300,24.800,1,0,NaN
Gulo,gulo,0.9,0.012,8,0,NaN
Hadrodelphis,calvertense,15.970,13.650,2,2,0.1443
Hadrodelphis,sp.,15.970,3.600,2,0,NaN
Halicetus,ignotus,12.8,12.7,1,0,NaN
Halichoerus,grypus,0.4,0.012,2,0,NaN
Halitherium,alleni,33.900,23.030,1,1,1.0000
Halitherium,antillense,28.400,23.030,1,1,1.0000
Halitherium,sp.,33.900,28.400,1,0,NaN
Hapalodectes,anthracinus,55.4,55.2,3,1,0.0130
Hapalodectes,leptognathus,53.8,52.2,9,0,NaN
Hapalodectes,sp.,52.1,51.9,2,0,NaN
Hapalorestes,lovei,50.300,46.200,1,0,NaN
Haplaletes,andakupensis,63.5,63.5,2,0,NaN
Haplaletes,disceptatrix,63.300,59.6,13,0,NaN
Haplaletes,pelicatus,59.9,59.5,3,0,NaN
Haplaletes,sp.,63.300,60.4,3,0,NaN
Haploconus,angustus,65.3,61.700,10,1,0.3395
Haploconus,elachistus,66.043,63.300,2,0,NaN
Haploconus,sp.,66.043,61.700,2,0,NaN
Haplohippus,texanus,39.6,38.3,2,1,0.1085
Haplolambda,quinni,56.800,55.800,2,0,NaN
Haplolambda,simpsoni,61.700,56.800,1,0,NaN
Haplomylus,bozemanensis,55.8,55.2,11,0,NaN
Haplomylus,meridionalis,55.800,50.300,1,0,NaN
Haplomylus,palustris,56.800,55.800,2,0,NaN
Haplomylus,scottianus,55.8,54.2,50,12,0.0795
Haplomylus,simpsoni,56.8,55.8,38,0,NaN
Haplomylus,sp.,56.8,53.2,8,1,0.0286
Haplomylus,speirianus,55.8,53.1,175,81,0.0774
Haplomys,galbreathi,33.900,33.300,1,0,NaN
Haplomys,liolophus,33.300,20.430,2,0,NaN
Haplomys,sp.,32.4,32.3,1,0,NaN
Harpagolestes,brevipes,44.8,44.7,1,0,NaN
Harpagolestes,leotensis,41.6,41.1,2,0,NaN
Harpagolestes,macrocephalus,47.6,47.5,3,0,NaN
Harpagolestes,sp.,45.2,39.8,5,2,0.0142
Harpagolestes,uintensis,45.0,42.7,2,0,NaN
Harrymys,canadensis,15.9,15.9,1,0,NaN
Harrymys,irvini,18.2,18.2,5,0,NaN
Harrymys,magnus,30.800,17.5,14,3,0.0579
Harrymys,sp.,23.8,18.1,3,0,NaN
Harrymys,woodi,18.2,18.2,2,0,NaN
Hayoceros,barbouri,0.3,0.3,1,0,NaN
Hayoceros,falkenbachi,0.6,0.6,1,0,NaN
Hayoceros,sp.,0.3,0.3,1,0,NaN
Helaletes,sp.,52.0,46.200,4,0,NaN
Heliscomys,gregoryi,33.6,33.6,1,0,NaN
Heliscomys,hatcheri,34.7,33.4,8,1,0.0426
Heliscomys,mcgrewi,33.6,33.6,4,0,NaN
Heliscomys,ostranderi,36.9,35.6,7,0,NaN
Heliscomys,senex,33.900,33.300,1,0,NaN
Heliscomys,sp.,39.8,15.970,11,3,0.0424
Heliscomys,vetus,36.4,29.2,9,0,NaN
Heliscomys,woodi,29.3,23.8,4,0,NaN
Helohyus,lentus,47.2,47.1,3,0,NaN
Helohyus,milleri,46.3,46.3,8,0,NaN
Helohyus,plicodon,49.1,46.3,23,0,NaN
Helohyus,sp.,49.1,45.6,3,0,NaN
Hemiacodon,casamissus,52.1,52.1,1,0,NaN
Hemiacodon,engardae,46.200,40.400,1,0,NaN
Hemiacodon,gracilis,48.1,40.400,10,0,NaN
Hemiacodon,sp.,47.9,45.2,3,0,NaN
Hemiauchenia,gracilis,3.0,1.6,6,0,NaN
Hemiauchenia,macrocephala,4.2,0.012,63,7,0.1173
Hemiauchenia,minima,11.5,8.9,4,0,NaN
Hemiauchenia,sp.,12.3,0.02516,124,6,0.0826
Hemiauchenia,vera,10.1,5.6,32,7,0.2428
Hemipsalodon,grandis,39.6,36.7,4,2,0.0095
Hemipsalodon,sp.,37.200,33.900,1,0,NaN
Hemipsalodon,viejaensis,37.3,37.2,2,0,NaN
Hemithlaeus,harbourae,64.8,64.7,1,1,0.1333
Hemithlaeus,josephi,65.2,65.2,1,0,NaN
Hemithlaeus,kowalevskianus,64.1,63.7,3,0,NaN
Hemithlaeus,sp.,64.2,64.0,1,0,NaN
Hendryomeryx,defordi,38.4,37.0,5,0,NaN
Hendryomeryx,esulcatus,36.9,33.3,7,0,NaN
Hendryomeryx,sp.,40.0,33.6,7,1,0.1111
Hendryomeryx,wilsoni,43.4,37.200,4,0,NaN
Heptacodon,curtus,33.900,32.5,2,0,NaN
Heptacodon,occidentale,35.8,33.8,3,0,NaN
Heptacodon,pellionis,40.400,37.200,2,0,NaN
Heptacodon,sp.,39.6,33.3,5,2,0.0164
Heptacodon,yeguaensis,48.600,37.200,1,0,NaN
Heptodon,calciculus,53.8,46.200,53,11,0.0375
Heptodon,posticus,53.0,46.200,24,0,NaN
Heptodon,sp.,55.7,46.200,27,0,NaN
Herpetocetus,bramblei,7.246,5.332,1,1,1.0000
Herpetocetus,sendaicus,5.332,3.600,1,0,NaN
Herpetocetus,sp.,20.430,0.012,4,1,1.0000
Herpetocetus,transatlanticus,5.332,3.600,1,1,0.0641
Herpetotherium,fugax,37.2,29.2,28,2,0.0863
Herpetotherium,knighti,50.1,40.3,60,13,0.0507
Herpetotherium,merriami,33.300,30.800,1,0,NaN
Herpetotherium,sp.,40.400,15.970,15,1,0.0204
Herpetotherium,valens,37.9,33.300,13,1,0.0426
Herpetotherium,youngi,33.900,22.2,23,7,0.0633
Hesperhys,antiquus,20.430,15.970,1,1,1.0000
Hesperhys,pinensis,21.3,17.9,6,3,0.2988
Hesperhys,sp.,26.300,12.7,10,2,0.1622
Hesperhys,vagrans,18.0,13.600,3,0,NaN
Hesperocamelus,sp.,18.8,18.8,1,1,0.1150
Hesperocamelus,stylodon,17.9,17.9,2,0,NaN
Hesperocetus,sp.,13.600,10.300,1,1,1.0000
Hesperocyon,coloradensis,33.3,33.3,2,0,NaN
Hesperocyon,gregarius,40.400,31.0,130,3,0.0379
Hesperocyon,sp.,42.5,20.430,35,1,0.0010
Hesperogaulus,gazini,15.8,14.7,5,0,NaN
Hesperogaulus,sp.,15.7,9.6,6,0,NaN
Hesperogaulus,wilsoni,11.4,9.7,3,1,0.0029
Hesperolagomys,fluviatilis,15.9,13.8,7,1,0.0025
Hesperolagomys,galbreathi,12.2,11.6,4,0,NaN
Hesperolagomys,sp.,15.9,11.8,8,0,NaN
Hesperoscalops,blancoensis,3.3,3.3,3,3,0.0163
Hesperoscalops,mcgrewi,7.4,7.2,2,0,NaN
Hesperoscalops,rexroadi,3.5,3.4,7,0,NaN
Hesperoscalops,ruficervus,8.1,8.1,1,0,NaN
Hesperoscalops,sewardensis,4.900,1.800,1,0,NaN
Hesperoscalops,sp.,8.3,6.5,3,0,NaN
Hesperosorex,lovei,11.4,11.4,1,0,NaN
Hesperosorex,sp.,11.6,11.6,1,0,NaN
Hessolestes,sp.,45.9,42.7,3,0,NaN
Hessolestes,ultimus,39.2,39.1,1,0,NaN
Heteraletes,leotanus,42.7,37.200,11,0,NaN
Heteraletes,sp.,40.400,37.200,1,0,NaN
Heteromeryx,dispar,38.5,36.3,5,0,NaN
Heteropliohippus,hulberti,23.030,5.332,1,0,NaN
Hexacodus,pelodes,52.9,46.200,9,0,NaN
Hexacodus,sp.,53.1,46.200,4,0,NaN
Hexacodus,uintensis,53.1,52.5,4,0,NaN
Hexameryx,simpsoni,10.0,7.8,8,0,NaN
Hexobelomeryx,fricki,10.1,4.2,5,0,NaN
Hexobelomeryx,sp.,10.3,8.1,7,0,NaN
Hibbarderix,obfuscatus,20.430,15.970,1,0,NaN
Hibbarderix,sp.,20.430,15.970,1,1,0.0224
Hibbardomys,fayae,2.8,2.7,1,0,NaN
Hibbardomys,marthae,2.4,0.300,6,0,NaN
Hibbardomys,skinneri,3.0,3.0,1,0,NaN
Hibbardomys,voorhiesi,2.5,2.2,8,0,NaN
Hibbardomys,zakrzewskii,1.800,0.300,1,0,NaN
Hipparion,forcei,11.8,7.246,10,0,NaN
Hipparion,tehonense,12.2,8.6,29,0,NaN
Hippidion,sp.,7.6,1.9,3,0,NaN
Hippotherium,emsliei,13.650,3.6,17,1,0.1277
Hippotherium,ingenuum,11.7,8.6,29,2,0.1549
Hippotherium,mohavense,11.608,7.246,1,0,NaN
Hippotherium,plicatile,11.5,8.6,18,0,NaN
Hippotherium,quinni,15.970,13.600,8,0,NaN
Hippotherium,sp.,15.970,7.7,114,4,0.1653
Histiotus,stocki,2.6,2.1,1,0,NaN
Histriophoca,fasciata,0.126,0.000,3,0,NaN
Hitonkala,andersontau,30.800,24.7,4,3,0.0644
Hitonkala,macdonaldtau,26.300,23.9,5,0,NaN
Hitonkala,sp.,22.2,22.2,1,0,NaN
Hodomys,sp.,3.6,0.8,33,0,NaN
Holmesina,floridanus,3.7,1.5,25,1,0.0320
Holmesina,septentrionalis,0.7,0.012,36,5,0.0987
Holmesina,sp.,1.800,0.3,3,0,NaN
Homacodon,vagans,47.6,40.400,13,0,NaN
Homiphoca,capensis,5.332,3.600,2,0,NaN
Homogalax,aureus,53.6,53.6,1,0,NaN
Homogalax,protapirinus,55.8,52.9,154,90,0.0895
Homogalax,sp.,54.3,52.2,9,1,0.3333
Homotherium,crusafonti,3.5,3.5,1,0,NaN
Homotherium,idahoensis,2.6,2.3,3,0,NaN
Homotherium,johnstoni,3.3,3.3,1,0,NaN
Homotherium,serum,0.7,0.012,9,0,NaN
Homotherium,sp.,3.5,0.4,20,3,0.0071
Homo,sapiens,0.126,0.000,9,0,NaN
Honrovits,tsuwape,52.1,52.1,3,0,NaN
Hoplictis,grangerensis,11.8,11.8,2,0,NaN
Hoplictis,sp.,11.5,11.5,1,0,NaN
Hoplocetus,sp.,2.588,0.012,1,1,0.3333
Hoplophoneus,mentalis,35.8,34.1,10,0,NaN
Hoplophoneus,occidentalis,33.8,33.8,1,0,NaN
Hoplophoneus,primaevus,33.8,33.4,11,0,NaN
Hoplophoneus,sp.,36.9,28.4,5,0,NaN
Horolodectes,sunae,58.6,58.5,3,0,NaN
Huerfanodon,polecatensis,63.300,61.700,1,0,NaN
Huerfanodon,sp.,63.300,61.700,1,0,NaN
Huerfanodon,torrejonius,63.300,61.700,1,0,NaN
