Taxon,Order,Family,Genus,Species,Equation,Predictor,Intercept,Slope,LnMass,m1L,m1W,otherL,otherW,MeasurementSource,Remarks
Cynelos_idoneus,Carnivora,Amphicyonidae,Cynelos,idoneus,Carnivores,m1L,1.681,2.97,11.57,27.9,NA,NA,NA,Hunt 1998a:211,midpoint of m1L range
Cynelos_n_sp1,Carnivora,Amphicyonidae,Cynelos,n_sp1,Carnivores,m1L,1.681,2.97,11.01,23.15,NA,NA,NA,Hunt 1998a:211,midpoint of m1L range
Cynelos_n_sp2,Carnivora,Amphicyonidae,Cynelos,n_sp2,Carnivores,m1L,1.681,2.97,11.44,26.75,NA,NA,NA,Hunt 1998a:211,midpoint of m1L range
Cynelos_sinapius,Carnivora,Amphicyonidae,Cynelos,sinapius,Carnivores,m1L,1.681,2.97,12.27,35.35,NA,NA,NA,Hunt 1998a:211,midpoint of m1L range
Cynelos_unnamed_sp,Carnivora,Amphicyonidae,Cynelos,unnamed_sp,Carnivores,m1L,1.681,2.97,10.77,21.3,NA,NA,NA,Hunt 1998a:211,
Daphoenodon_falkenbachi,Carnivora,Amphicyonidae,Daphoenodon,falkenbachi,Carnivores,m1L,1.681,2.97,11.83,30.5,13.8,NA,NA,Paleobiology Database,
Daphoenodon_notionastes,Carnivora,Amphicyonidae,Daphoenodon,notionastes,Carnivores,m1L,1.681,2.97,10.68,20.7,10,NA,NA,Paleobiology Database,
Daphoenodon_skinneri,Carnivora,Amphicyonidae,Daphoenodon,skinneri,Carnivores,m1L,1.681,2.97,11.36,26,12.2,NA,NA,Paleobiology Database,
Daphoenodon_superbus,Carnivora,Amphicyonidae,Daphoenodon,superbus,Carnivores,m1L,1.681,2.97,11.26,25.2,11.4,NA,NA,Paleobiology Database,
Daphoenus_vetus,Carnivora,Amphicyonidae,Daphoenus,vetus,Carnivores,m1L,1.681,2.97,9.88,15.8,7.36,NA,NA,Paleobiology Database,
Ischyrocyon_gidleyi,Carnivora,Amphicyonidae,Ischyrocyon,gidleyi,Carnivores,m1L,1.681,2.97,12.55,38.9,18.1,NA,NA,Paleobiology Database,
Mammacyon_n_sp1,Carnivora,Amphicyonidae,Mammacyon,n_sp1,Carnivores,m1L,1.681,2.97,10.75,21.2,NA,NA,NA,Hunt 1998a:209,
Mammacyon_n_sp2,Carnivora,Amphicyonidae,Mammacyon,n_sp2,Carnivores,m1L,1.681,2.97,11.56,27.8,NA,NA,NA,Hunt 1998a:209,
Mammacyon_obtusidens,Carnivora,Amphicyonidae,Mammacyon,obtusidens,Carnivores,m1L,1.681,2.97,11.16,24.3,NA,NA,NA,Hunt 1998a:209,
Paradaphoenus_cuspigerus,Carnivora,Amphicyonidae,Paradaphoenus,cuspigerus,Carnivores,m1L,1.681,2.97,8.3,9.3,5.2,NA,NA,Paleobiology Database,
Paradaphoenus_tooheyi,Carnivora,Amphicyonidae,Paradaphoenus,tooheyi,Carnivores,m1L,1.681,2.97,8.16,8.85,4.45,NA,NA,Paleobiology Database,
Pliocyon_medius,Carnivora,Amphicyonidae,Pliocyon,medius,Carnivores,m1L,1.681,2.97,12.06,32.9,16.2,NA,NA,Paleobiology Database,
Pliocyon_robustus,Carnivora,Amphicyonidae,Pliocyon,robustus,Carnivores,m1L,1.681,2.97,12.08,33.2,14.8,NA,NA,Paleobiology Database,
Pseudocyon_sp,Carnivora,Amphicyonidae,Pseudocyon,sp,Carnivores,m1L,1.681,2.97,12.28,35.45,NA,NA,NA,Hunt 1998a:214,midpoint of m1L range
Temnocyon_altigenis,Carnivora,Amphicyonidae,Temnocyon,altigenis,Carnivores,m1L,1.681,2.97,10.39,18.8,9.39,NA,NA,Paleobiology Database,
Temnocyon_percussor,Carnivora,Amphicyonidae,Temnocyon,percussor,Carnivores,m1L,1.681,2.97,11.14,24.2,11.6,NA,NA,Paleobiology Database,
Ysengrinia_americana,Carnivora,Amphicyonidae,Ysengrinia,americana,Carnivores,m1L,1.681,2.97,11.61,28.3,14.6,NA,NA,Paleobiology Database,
Barbourofelis_fricki,Carnivora,Barbourofelidae,Barbourofelis,fricki,Carnivores,m1L,1.681,2.97,12.45,37.5,13.5,NA,NA,Paleobiology Database,
Barbourofelis_morrisi,Carnivora,Barbourofelidae,Barbourofelis,morrisi,Carnivores,m1L,1.681,2.97,11.41,26.5,10,NA,NA,Paleobiology Database,
Barbourofelis_whitfordi,Carnivora,Barbourofelidae,Barbourofelis,whitfordi,Carnivores,m1L,1.681,2.97,11.26,25.2,9.2,NA,NA,Paleobiology Database,
Aelurodon_asthenostylus,Carnivora,Canidae,Aelurodon,asthenostylus,Canidae,m1L,4.099,1.82,10,25.6,9.81,NA,NA,Paleobiology Database,
Aelurodon_ferox,Carnivora,Canidae,Aelurodon,ferox,Canidae,m1L,4.099,1.82,10.18,28.2,11,NA,NA,Paleobiology Database,
Aelurodon_mcgrewi,Carnivora,Canidae,Aelurodon,mcgrewi,Canidae,m1L,4.099,1.82,10.01,25.7,10.1,NA,NA,Paleobiology Database,
Aelurodon_montanensis,Carnivora,Canidae,Aelurodon,montanensis,Canidae,m1L,4.099,1.82,10.23,29,12.6,NA,NA,Paleobiology Database,
Aelurodon_stirtoni,Carnivora,Canidae,Aelurodon,stirtoni,Canidae,m1L,4.099,1.82,9.93,24.7,10.1,NA,NA,Paleobiology Database,
Aelurodon_taxoides,Carnivora,Canidae,Aelurodon,taxoides,Canidae,m1L,4.099,1.82,10.29,30.1,11.8,NA,NA,Paleobiology Database,
Archaeocyon_leptodus,Carnivora,Canidae,Archaeocyon,leptodus,Canidae,m1L,4.099,1.82,8.17,9.34,3.85,NA,NA,Paleobiology Database,
Archaeocyon_pavidus,Carnivora,Canidae,Archaeocyon,pavidus,Canidae,m1L,4.099,1.82,7.73,7.36,3.13,NA,NA,Paleobiology Database,
Borophagus_diversidens,Carnivora,Canidae,Borophagus,diversidens,Canidae,m1L,4.099,1.82,10.46,32.9,14.5,NA,NA,Paleobiology Database,
Borophagus_hilli,Carnivora,Canidae,Borophagus,hilli,Canidae,m1L,4.099,1.82,10.28,29.9,12.5,NA,NA,Paleobiology Database,
Borophagus_littoralis,Carnivora,Canidae,Borophagus,littoralis,Canidae,m1L,4.099,1.82,10.06,26.5,10.8,NA,NA,Paleobiology Database,
Borophagus_orc,Carnivora,Canidae,Borophagus,orc,Canidae,m1L,4.099,1.82,9.73,22.1,9.27,NA,NA,Paleobiology Database,
Borophagus_parvus,Carnivora,Canidae,Borophagus,parvus,Canidae,m1L,4.099,1.82,9.87,23.8,9.66,NA,NA,Paleobiology Database,
Borophagus_pugnator,Carnivora,Canidae,Borophagus,pugnator,Canidae,m1L,4.099,1.82,10.09,26.9,10.7,NA,NA,Paleobiology Database,
Borophagus_secundus,Carnivora,Canidae,Borophagus,secundus,Canidae,m1L,4.099,1.82,10.09,26.9,11.3,NA,NA,Paleobiology Database,
Canis_armbrusteri,Carnivora,Canidae,Canis,armbrusteri,Canidae,m1L,4.099,1.82,10.32,30.6,12.5,NA,NA,Paleobiology Database,
Canis_dirus,Carnivora,Canidae,Canis,dirus,Canidae,m1L,4.099,1.82,10.58,35.2,13.5,NA,NA,Paleobiology Database,
Canis_latrans,Carnivora,Canidae,Canis,latrans,Canidae,m1L,4.099,1.82,9.69,21.6,8.1,NA,NA,Paleobiology Database,
Canis_lepophagus,Carnivora,Canidae,Canis,lepophagus,Canidae,m1L,4.099,1.82,9.59,20.4,8.44,NA,NA,Paleobiology Database,
Canis_lupus,Carnivora,Canidae,Canis,lupus,Canidae,m1L,4.099,1.82,10.16,27.9,11.4,NA,NA,Paleobiology Database,
Carpocyon_compressus,Carnivora,Canidae,Carpocyon,compressus,Canidae,m1L,4.099,1.82,9.63,20.9,8.44,NA,NA,Paleobiology Database,
Carpocyon_robustus,Carnivora,Canidae,Carpocyon,robustus,Canidae,m1L,4.099,1.82,9.87,23.8,9.24,NA,NA,Paleobiology Database,
Carpocyon_webbi,Carnivora,Canidae,Carpocyon,webbi,Canidae,m1L,4.099,1.82,9.93,24.6,9.65,NA,NA,Paleobiology Database,
Cormocyon_copei,Carnivora,Canidae,Cormocyon,copei,Canidae,m1L,4.099,1.82,8.48,11.1,5.02,NA,NA,Paleobiology Database,
Cormocyon_haydeni,Carnivora,Canidae,Cormocyon,haydeni,Canidae,m1L,4.099,1.82,8.38,10.5,4.25,NA,NA,Paleobiology Database,
Cynarctoides_acridens,Carnivora,Canidae,Cynarctoides,acridens,Canidae,m1L,4.099,1.82,7.98,8.44,3.83,NA,NA,Paleobiology Database,
Cynarctoides_emryi,Carnivora,Canidae,Cynarctoides,emryi,Canidae,m1L,4.099,1.82,7.79,7.62,4,NA,NA,Paleobiology Database,
Cynarctoides_gawnae,Carnivora,Canidae,Cynarctoides,gawnae,Canidae,m1L,4.099,1.82,7.88,8,3.27,NA,NA,Paleobiology Database,
Cynarctoides_harlowi,Carnivora,Canidae,Cynarctoides,harlowi,Canidae,m1L,4.099,1.82,7.53,6.6,2.8,NA,NA,Paleobiology Database,
Cynarctoides_lemur,Carnivora,Canidae,Cynarctoides,lemur,Canidae,m1L,4.099,1.82,7.75,7.43,3.38,NA,NA,Paleobiology Database,
Cynarctoides_luskensis,Carnivora,Canidae,Cynarctoides,luskensis,Canidae,m1L,4.099,1.82,7.78,7.55,3.35,NA,NA,Paleobiology Database,
Cynarctoides_roii,Carnivora,Canidae,Cynarctoides,roii,Canidae,m1L,4.099,1.82,7.51,6.52,2.97,NA,NA,Paleobiology Database,
Cynarctus_crucidens,Carnivora,Canidae,Cynarctus,crucidens,Canidae,m1L,4.099,1.82,8.51,11.3,5.5,NA,NA,Paleobiology Database,
Cynarctus_galushai,Carnivora,Canidae,Cynarctus,galushai,Canidae,m1L,4.099,1.82,9.13,15.9,6.38,NA,NA,Paleobiology Database,
Cynarctus_saxatilis,Carnivora,Canidae,Cynarctus,saxatilis,Canidae,m1L,4.099,1.82,9.22,16.7,7.28,NA,NA,Paleobiology Database,
Cynarctus_voorhiesi,Carnivora,Canidae,Cynarctus,voorhiesi,Canidae,m1L,4.099,1.82,8.89,13.9,6.28,NA,NA,Paleobiology Database,
Cynodesmus_martini,Carnivora,Canidae,Cynodesmus,martini,Canidae,m1L,4.099,1.82,9.56,20.1,9,NA,NA,Paleobiology Database,
Cynodesmus_thooides,Carnivora,Canidae,Cynodesmus,thooides,Canidae,m1L,4.099,1.82,9.13,15.9,6.91,NA,NA,Paleobiology Database,
Desmocyon_matthewi,Carnivora,Canidae,Desmocyon,matthewi,Canidae,m1L,4.099,1.82,9,14.8,6.09,NA,NA,Paleobiology Database,
Desmocyon_thomsoni,Carnivora,Canidae,Desmocyon,thomsoni,Canidae,m1L,4.099,1.82,8.85,13.6,5.67,NA,NA,Paleobiology Database,
Ectopocynus_antiquus,Carnivora,Canidae,Ectopocynus,antiquus,Canidae,m1L,4.099,1.82,9.02,14.9,6.35,NA,NA,Paleobiology Database,
Ectopocynus_intermedius,Carnivora,Canidae,Ectopocynus,intermedius,Canidae,m1L,4.099,1.82,9.43,18.7,8.9,NA,NA,Paleobiology Database,
Ectopocynus_simplicidens,Carnivora,Canidae,Ectopocynus,simplicidens,Canidae,m1L,4.099,1.82,9.72,22,10.1,NA,NA,Paleobiology Database,
Enhydrocyon_basilatus,Carnivora,Canidae,Enhydrocyon,basilatus,Canidae,m1L,4.099,1.82,9.92,24.5,10.8,NA,NA,Paleobiology Database,
Enhydrocyon_crassidens,Carnivora,Canidae,Enhydrocyon,crassidens,Canidae,m1L,4.099,1.82,9.83,23.3,9.84,NA,NA,Paleobiology Database,
Enhydrocyon_pahinsintewakpa,Carnivora,Canidae,Enhydrocyon,pahinsintewakpa,Canidae,m1L,4.099,1.82,9.6,20.6,9.25,NA,NA,Paleobiology Database,
Enhydrocyon_stenocephalus,Carnivora,Canidae,Enhydrocyon,stenocephalus,Canidae,m1L,4.099,1.82,9.55,20,10.3,NA,NA,Paleobiology Database,
Epicyon_haydeni,Carnivora,Canidae,Epicyon,haydeni,Canidae,m1L,4.099,1.82,10.64,36.3,14.4,NA,NA,Paleobiology Database,
Epicyon_saevus,Carnivora,Canidae,Epicyon,saevus,Canidae,m1L,4.099,1.82,10.23,29.1,11.4,NA,NA,Paleobiology Database,
Eucyon_davisi,Carnivora,Canidae,Eucyon,davisi,Canidae,m1L,4.099,1.82,9.26,17,6.5,NA,NA,Paleobiology Database,
Euoplocyon_brachygnathus,Carnivora,Canidae,Euoplocyon,brachygnathus,Canidae,m1L,4.099,1.82,9.33,17.7,6.46,NA,NA,Paleobiology Database,
Euoplocyon_spissidens,Carnivora,Canidae,Euoplocyon,spissidens,Canidae,m1L,4.099,1.82,9.19,16.4,6.3,NA,NA,Paleobiology Database,
Hesperocyon_gregarius,Carnivora,Canidae,Hesperocyon,gregarius,Canidae,m1L,4.099,1.82,8.17,9.36,4.24,NA,NA,Paleobiology Database,
Leptocyon_vafer,Carnivora,Canidae,Leptocyon,vafer,Canidae,m1L,4.099,1.82,8.59,11.8,4.69,NA,NA,Paleobiology Database,
Mesocyon_brachyops,Carnivora,Canidae,Mesocyon,brachyops,Canidae,m1L,4.099,1.82,8.98,14.6,6.44,NA,NA,Paleobiology Database,
Mesocyon_coryphaeus,Carnivora,Canidae,Mesocyon,coryphaeus,Canidae,m1L,4.099,1.82,9.23,16.8,7.35,NA,NA,Paleobiology Database,
Mesocyon_temnodon,Carnivora,Canidae,Mesocyon,temnodon,Canidae,m1L,4.099,1.82,8.88,13.8,6.01,NA,NA,Paleobiology Database,
Metatomarctus_canavus,Carnivora,Canidae,Metatomarctus,canavus,Canidae,m1L,4.099,1.82,9.3,17.4,7.09,NA,NA,Paleobiology Database,
Microtomarctus_conferta,Carnivora,Canidae,Microtomarctus,conferta,Canidae,m1L,4.099,1.82,9.09,15.5,5.95,NA,NA,Paleobiology Database,
Osbornodon_fricki,Carnivora,Canidae,Osbornodon,fricki,Canidae,m1L,4.099,1.82,10.16,27.9,11.7,NA,NA,Paleobiology Database,
Osbornodon_iamonensis,Carnivora,Canidae,Osbornodon,iamonensis,Canidae,m1L,4.099,1.82,9.54,19.9,8.36,NA,NA,Paleobiology Database,
Osbornodon_scitulus,Carnivora,Canidae,Osbornodon,scitulus,Canidae,m1L,4.099,1.82,9.38,18.2,8.17,NA,NA,Paleobiology Database,
Osbornodon_sesnoni,Carnivora,Canidae,Osbornodon,sesnoni,Canidae,m1L,4.099,1.82,9.03,15,6.53,NA,NA,Paleobiology Database,
Otarocyon_cooki,Carnivora,Canidae,Otarocyon,cooki,Canidae,m1L,4.099,1.82,7.51,6.51,3.15,NA,NA,Paleobiology Database,
Oxetocyon_cuspidatus,Carnivora,Canidae,Oxetocyon,cuspidatus,Canidae,m1L,4.099,1.82,7.8,7.63,3.47,NA,NA,Paleobiology Database,
Paracynarctus_kelloggi,Carnivora,Canidae,Paracynarctus,kelloggi,Canidae,m1L,4.099,1.82,9.03,15,6.97,NA,NA,Paleobiology Database,
Paracynarctus_sinclairi,Carnivora,Canidae,Paracynarctus,sinclairi,Canidae,m1L,4.099,1.82,8.99,14.7,7.2,NA,NA,Paleobiology Database,
Paraenhydrocyon_josephi,Carnivora,Canidae,Paraenhydrocyon,josephi,Canidae,m1L,4.099,1.82,8.98,14.6,6.23,NA,NA,Paleobiology Database,
Paraenhydrocyon_robustus,Carnivora,Canidae,Paraenhydrocyon,robustus,Canidae,m1L,4.099,1.82,9.12,15.8,6.7,NA,NA,Paleobiology Database,
Paraenhydrocyon_wallovianus,Carnivora,Canidae,Paraenhydrocyon,wallovianus,Canidae,m1L,4.099,1.82,9.56,20.1,8.64,NA,NA,Paleobiology Database,
Paratomarctus_euthos,Carnivora,Canidae,Paratomarctus,euthos,Canidae,m1L,4.099,1.82,9.58,20.3,7.81,NA,NA,Paleobiology Database,
Paratomarctus_temerarius,Carnivora,Canidae,Paratomarctus,temerarius,Canidae,m1L,4.099,1.82,9.35,17.9,7.18,NA,NA,Paleobiology Database,
Philotrox_condoni,Carnivora,Canidae,Philotrox,condoni,Canidae,m1L,4.099,1.82,9.39,18.3,8.07,NA,NA,Paleobiology Database,
Phlaocyon_achoros,Carnivora,Canidae,Phlaocyon,achoros,Canidae,m1L,4.099,1.82,7.99,8.5,3.87,NA,NA,Paleobiology Database,
Phlaocyon_annectens,Carnivora,Canidae,Phlaocyon,annectens,Canidae,m1L,4.099,1.82,8.16,9.3,4.08,NA,NA,Paleobiology Database,
Phlaocyon_latidens,Carnivora,Canidae,Phlaocyon,latidens,Canidae,m1L,4.099,1.82,7.93,8.2,4.12,NA,NA,Paleobiology Database,
Phlaocyon_leucosteus,Carnivora,Canidae,Phlaocyon,leucosteus,Canidae,m1L,4.099,1.82,8.25,9.76,5.2,NA,NA,Paleobiology Database,
Phlaocyon_marslandensis,Carnivora,Canidae,Phlaocyon,marslandensis,Canidae,m1L,4.099,1.82,8.5,11.2,6,NA,NA,Paleobiology Database,
Phlaocyon_minor,Carnivora,Canidae,Phlaocyon,minor,Canidae,m1L,4.099,1.82,8.16,9.32,4.26,NA,NA,Paleobiology Database,
Phlaocyon_taylori,Carnivora,Canidae,Phlaocyon,taylori,Canidae,m1L,4.099,1.82,7.57,6.73,3.3,NA,NA,Paleobiology Database,
Phlaocyon_yatkolai,Carnivora,Canidae,Phlaocyon,yatkolai,Canidae,m1L,4.099,1.82,9.17,16.2,7.8,NA,NA,Paleobiology Database,
Protepicyon_raki,Carnivora,Canidae,Protepicyon,raki,Canidae,m1L,4.099,1.82,10.07,26.6,10,NA,NA,Paleobiology Database,
Protomarctus_optatus,Carnivora,Canidae,Protomarctus,optatus,Canidae,m1L,4.099,1.82,9.33,17.7,7.25,NA,NA,Paleobiology Database,
Psalidocyon_marianae,Carnivora,Canidae,Psalidocyon,marianae,Canidae,m1L,4.099,1.82,9.08,15.4,5.68,NA,NA,Paleobiology Database,
Rhizocyon_oregonensis,Carnivora,Canidae,Rhizocyon,oregonensis,Canidae,m1L,4.099,1.82,8.12,9.09,3.71,NA,NA,Paleobiology Database,
Sunkahetanka_geringensis,Carnivora,Canidae,Sunkahetanka,geringensis,Canidae,m1L,4.099,1.82,9.32,17.6,8.05,NA,NA,Paleobiology Database,
Tephrocyon_rurestris,Carnivora,Canidae,Tephrocyon,rurestris,Canidae,m1L,4.099,1.82,9.48,19.2,7.1,NA,NA,Paleobiology Database,
Tomarctus_brevirostris,Carnivora,Canidae,Tomarctus,brevirostris,Canidae,m1L,4.099,1.82,9.77,22.5,8.77,NA,NA,Paleobiology Database,
Tomarctus_hippophaga,Carnivora,Canidae,Tomarctus,hippophaga,Canidae,m1L,4.099,1.82,9.53,19.8,8.07,NA,NA,Paleobiology Database,
Urocyon_cinereoargenteus,Carnivora,Canidae,Urocyon,cinereoargenteus,Canidae,m1L,4.099,1.82,8.67,12.3,5.11,NA,NA,Paleobiology Database,
Vulpes_lagopus,Carnivora,Canidae,Vulpes,lagopus,Canidae,m1L,4.099,1.82,8.75,12.9,4.83,NA,NA,Paleobiology Database,
Vulpes_stenognathus,Carnivora,Canidae,Vulpes,stenognathus,Canidae,m1L,4.099,1.82,8.9,14,5.3,NA,NA,Paleobiology Database,
Vulpes_velox,Carnivora,Canidae,Vulpes,velox,Canidae,m1L,4.099,1.82,8.62,12,4.4,NA,NA,Paleobiology Database,
Vulpes_vulpes,Carnivora,Canidae,Vulpes,vulpes,Canidae,m1L,4.099,1.82,9.08,15.4,5.67,NA,NA,Paleobiology Database,
Adelphailurus_kansensis,Carnivora,Felidae,Adelphailurus,kansensis,Felidae,m1L,1.957,3.05,10.41,16,7,NA,NA,Paleobiology Database,
Felis_rexroadensis,Carnivora,Felidae,Felis,rexroadensis,Felidae,m1L,1.957,3.05,10.32,15.5,6.8,NA,NA,Paleobiology Database,
Homotherium_serum,Carnivora,Felidae,Homotherium,serum,Felidae,m1L,1.957,3.05,12.09,27.7,11.1,NA,NA,Paleobiology Database,
Lynx_proterolyncis,Carnivora,Felidae,Lynx,proterolyncis,Felidae,m1L,1.957,3.05,9.66,12.5,5.6,NA,NA,Paleobiology Database,
Lynx_rufus,Carnivora,Felidae,Lynx,rufus,Felidae,m1L,1.957,3.05,9.16,10.6,5.04,NA,NA,Paleobiology Database,
Machairodus_coloradensis,Carnivora,Felidae,Machairodus,coloradensis,Felidae,m1L,1.957,3.05,12.52,31.9,13.1,NA,NA,Paleobiology Database,
Megantereon_hesperus,Carnivora,Felidae,Megantereon,hesperus,Felidae,m1L,1.957,3.05,11.12,20.2,9.09,NA,NA,Paleobiology Database,
Nimravides_galiani,Carnivora,Felidae,Nimravides,galiani,Felidae,m1L,1.957,3.05,11.98,26.7,11.3,NA,NA,Paleobiology Database,
Nimravides_hibbardi,Carnivora,Felidae,Nimravides,hibbardi,Felidae,m1L,1.957,3.05,11.31,21.5,8.9,NA,NA,Paleobiology Database,
Panthera_onca,Carnivora,Felidae,Panthera,onca,Felidae,m1L,1.957,3.05,11.47,22.6,11.7,NA,NA,Paleobiology Database,
Pratifelis_martini,Carnivora,Felidae,Pratifelis,martini,Felidae,m1L,1.957,3.05,12.28,29.5,8,NA,NA,Paleobiology Database,
Pseudaelurus_aeluroides,Carnivora,Felidae,Pseudaelurus,aeluroides,Felidae,m1L,1.957,3.05,10.36,15.7,6.8,NA,NA,Paleobiology Database,
Pseudaelurus_intrepidus,Carnivora,Felidae,Pseudaelurus,intrepidus,Felidae,m1L,1.957,3.05,10.62,17.1,7.09,NA,NA,Paleobiology Database,
Pseudaelurus_marshi,Carnivora,Felidae,Pseudaelurus,marshi,Felidae,m1L,1.957,3.05,10.41,16,7.5,NA,NA,Paleobiology Database,
Pseudaelurus_stouti,Carnivora,Felidae,Pseudaelurus,stouti,Felidae,m1L,1.957,3.05,8.66,9,3.9,NA,NA,Paleobiology Database,
Puma_concolor,Carnivora,Felidae,Puma,concolor,Felidae,m1L,1.957,3.05,10.6,17,8.43,NA,NA,Paleobiology Database,
Smilodon_fatalis,Carnivora,Felidae,Smilodon,fatalis,Felidae,m1L,1.957,3.05,12.1,27.8,13.2,NA,NA,Paleobiology Database,
Buisnictis_schoffi,Carnivora,Mephitidae,Buisnictis,schoffi,Mustelidae,m1L,-3.04,3.48,3.11,5.85,2.4,NA,NA,Paleobiology Database,
Martinogale_alveodens,Carnivora,Mephitidae,Martinogale,alveodens,Mustelidae,m1L,-3.04,3.48,2.89,5.49,2.35,NA,NA,Paleobiology Database,
Spilogale_putorius,Carnivora,Mephitidae,Spilogale,putorius,Mustelidae,m1L,-3.04,3.48,3.82,7.19,3.15,NA,NA,Paleobiology Database,
Brachyprotoma_obtusata,Carnivora,Mustelidae,Brachyprotoma,obtusata,Mustelidae,m1L,-3.04,3.48,3.76,7.05,2.92,NA,NA,Paleobiology Database,
Brachypsalis_matutinus,Carnivora,Mustelidae,Brachypsalis,matutinus,Mustelidae,m1L,-3.04,3.48,5.8,12.7,5.6,NA,NA,Paleobiology Database,
Brachypsalis_modicus,Carnivora,Mustelidae,Brachypsalis,modicus,Mustelidae,m1L,-3.04,3.48,6.24,14.4,7.43,NA,NA,Paleobiology Database,
Brachypsalis_pachycephalus,Carnivora,Mustelidae,Brachypsalis,pachycephalus,Mustelidae,m1L,-3.04,3.48,6.19,14.2,7.65,NA,NA,Paleobiology Database,
Cernictis_hesperus,Carnivora,Mustelidae,Cernictis,hesperus,Mustelidae,m1L,-3.04,3.48,5.18,10.6,5.1,NA,NA,Paleobiology Database,
Conepatus_leuconotus,Carnivora,Mustelidae,Conepatus,leuconotus,Mustelidae,m1L,-3.04,3.48,5.04,10.2,5.54,NA,NA,Paleobiology Database,
Dinogale_siouxensis,Carnivora,Mustelidae,Dinogale,siouxensis,Mustelidae,m1L,-3.04,3.48,5.14,10.5,4.4,NA,NA,Paleobiology Database,
Gulo_gulo,Carnivora,Mustelidae,Gulo,gulo,Mustelidae,m1L,-3.04,3.48,7.59,21.2,7.18,NA,NA,Paleobiology Database,
Leptarctus_primus,Carnivora,Mustelidae,Leptarctus,primus,Mustelidae,m1L,-3.04,3.48,5.01,10.1,4.7,NA,NA,Paleobiology Database,
Lontra_canadensis,Carnivora,Mustelidae,Lontra,canadensis,Mustelidae,m1L,-3.04,3.48,6.14,14,7.7,NA,NA,Paleobiology Database,
Lutravus_halli,Carnivora,Mustelidae,Lutravus,halli,Mustelidae,m1L,-3.04,3.48,6.12,13.9,5.85,NA,NA,Paleobiology Database,
Martes_americana,Carnivora,Mustelidae,Martes,americana,Mustelidae,m1L,-3.04,3.48,4.56,8.89,3.54,NA,NA,Paleobiology Database,
Megalictis_ferox,Carnivora,Mustelidae,Megalictis,ferox,Mustelidae,m1L,-3.04,3.48,7.37,19.9,9.42,NA,NA,Paleobiology Database,
Miomustela_madisonae,Carnivora,Mustelidae,Miomustela,madisonae,Mustelidae,m1L,-3.04,3.48,2.6,5.06,2.06,NA,NA,Paleobiology Database,
Mionictis_letifer,Carnivora,Mustelidae,Mionictis,letifer,Mustelidae,m1L,-3.04,3.48,4.9,9.8,4.2,NA,NA,Paleobiology Database,
Mustela_erminea,Carnivora,Mustelidae,Mustela,erminea,Mustelidae,m1L,-3.04,3.48,2.06,4.33,1.89,NA,NA,Paleobiology Database,
Mustela_frenata,Carnivora,Mustelidae,Mustela,frenata,Mustelidae,m1L,-3.04,3.48,2.68,5.18,2.09,NA,NA,Paleobiology Database,
Mustela_nigripes,Carnivora,Mustelidae,Mustela,nigripes,Mustelidae,m1L,-3.04,3.48,4.28,8.19,2.31,NA,NA,Paleobiology Database,
Mustela_nivalis,Carnivora,Mustelidae,Mustela,nivalis,Mustelidae,m1L,-3.04,3.48,1.25,3.43,1.19,NA,NA,Paleobiology Database,
Mustela_rexroadensis,Carnivora,Mustelidae,Mustela,rexroadensis,Mustelidae,m1L,-3.04,3.48,2.26,4.59,1.82,NA,NA,Paleobiology Database,
Mustela_vison,Carnivora,Mustelidae,Mustela,vison,Mustelidae,m1L,-3.04,3.48,4.04,7.64,2.88,NA,NA,Paleobiology Database,
Plesiogulo_lindsayi,Carnivora,Mustelidae,Plesiogulo,lindsayi,Mustelidae,m1L,-3.04,3.48,8.44,27.1,10.6,NA,NA,Paleobiology Database,
Plesiogulo_marshalli,Carnivora,Mustelidae,Plesiogulo,marshalli,Mustelidae,m1L,-3.04,3.48,8.05,24.2,9.02,NA,NA,Paleobiology Database,
Plionictis_ogygia,Carnivora,Mustelidae,Plionictis,ogygia,Mustelidae,m1L,-3.04,3.48,3.61,6.75,3.01,NA,NA,Paleobiology Database,
Pliotaxidea_nevadensis,Carnivora,Mustelidae,Pliotaxidea,nevadensis,Mustelidae,m1L,-3.04,3.48,4.87,9.71,4.96,NA,NA,Paleobiology Database,
Satherium_piscinarium,Carnivora,Mustelidae,Satherium,piscinarium,Mustelidae,m1L,-3.04,3.48,6.84,17.1,9.72,NA,NA,Paleobiology Database,
Sminthosinis_bowleri,Carnivora,Mustelidae,Sminthosinis,bowleri,Mustelidae,m1L,-3.04,3.48,4.61,9.02,4.02,NA,NA,Paleobiology Database,
Sthenictis_dolichops,Carnivora,Mustelidae,Sthenictis,dolichops,Mustelidae,m1L,-3.04,3.48,6.5,15.5,5.87,NA,NA,Paleobiology Database,
Sthenictis_junturensis,Carnivora,Mustelidae,Sthenictis,junturensis,Mustelidae,m1L,-3.04,3.48,5.8,12.7,5.8,NA,NA,Paleobiology Database,
Taxidea_taxus,Carnivora,Mustelidae,Taxidea,taxus,Mustelidae,m1L,-3.04,3.48,5.99,13.4,5.88,NA,NA,Paleobiology Database,
Trigonictis_macrodon,Carnivora,Mustelidae,Trigonictis,macrodon,Mustelidae,m1L,-3.04,3.48,6.04,13.6,6.03,NA,NA,Paleobiology Database,
